Name,Name_ch,Name_en,confirmed,deaths,recovered
미국,美国,United States,7046216,204506,4299525
인도,印度,India,5562663,88965,4497867
브라질,巴西,Brazil,4560083,137350,3887199
러시아,俄罗斯,Russia,1109595,19489,911973
페루,秘鲁,Peru,772896,31474,622418
콜롬비아,哥伦比亚,Colombia,770435,24397,640900
멕시코,墨西哥,Mexico,700580,73697,502982
스페인,西班牙,Spain,671468,30663,0
남아프리카 공화국,南非共和国,South Africa,661936,15992,591208
Argentina,,Argentina,640147,13482,508563
프랑스,法国,France,458061,31338,93008
칠레,智利,Chile,447468,12298,421111
이란,伊朗,Iran,425481,24478,361523
영국,英国,UK,398625,41788,0
Bangladesh,,Bangladesh,350621,4979,258717
사우디아라비아,沙特阿拉伯,Saudi Arabia,330246,4512,311499
이라크,伊拉克,Iraq,322856,8625,258075
파키스탄,巴基斯坦,Pakistan,306886,6424,293159
터키,土耳其,Turkey,304610,7574,268435
이탈리아,义大利,Italy,299506,35724,218703
필리핀,菲律宾,Philippines,290190,4999,230233
독일,德国,Germany,275551,9481,246300
인도네시아,印度尼西亚,Indonesia,248852,9677,180797
이스라엘,以色列,Israel,192579,1273,140743
Ukraine,,Ukraine,181237,3642,79901
캐나다,加拿大,Canada,145415,9228,125534
Bolivia,,Bolivia,130986,7654,90240
에콰도르,厄瓜多尔,Ecuador,126711,11095,102852
카타르,卡塔尔,Qatar,123604,211,120540
루마니아,尼亚,Romania,113589,4458,90649
도미니카 공화국,多明尼加共和国,Dominican Republic,108783,2054,82274
Kazakhstan,,Kazakhstan,107374,1671,102064
Panama,,Panama,106810,2272,82320
벨기에,比利时,Belgium,103392,9950,18977
모로코,摩洛哥,Morocco,103119,1855,84158
이집트,埃及,Egypt,102141,5787,90332
쿠웨이트,科威特,Kuwait,99964,585,90930
네덜란드,荷兰,Netherlands,95995,6281,0
오만,阿曼,Oman,94051,853,85781
스웨덴,瑞典语,Sweden,88237,5865,0
Guatemala,,Guatemala,85681,3124,75172
아랍에미리트,阿拉伯联合酋长国,UAE,85595,405,75086
폴란드,波兰,Poland,79988,2298,64604
일본,日本,Japan,79140,1500,71404
벨라루스,白俄罗斯,Belarus,75898,785,73301
Honduras,,Honduras,72075,2204,22611
Ethiopia,,Ethiopia,69709,1108,28634
포르투갈,葡萄牙,Portugal,69200,1920,45736
Venezuela,,Venezuela,67443,555,56726
