title,link
"WHO ""코로나19 방치하면 전 세계 사망자 200만명으로 늘 것""",http://yna.kr/AKR20200926003000109?did=1195m
"[단독]사랑제일교회 ""CCTV 담당이 코로나 걸려 제출 늦어""",http://www.newsis.com/view/?id=NISX20200925_0001180280&cID=10201&pID=10200
미국 코로나19 누적환자 700만명 넘어…첫 환자 발생 8개월만(종합),http://yna.kr/AKR20200926005751091?did=1195m
코로나 신규확진 114명...사흘 연속 세 자릿수(종합),https://biz.chosun.com/site/data/html_dir/2020/09/25/2020092501033.html?utm_source=naver&utm_medium=original&utm_campaign=biz
서울대병원 간호사 코로나19 확진…일부 병동 입실통제,http://yna.kr/AKR20200925162900017?did=1195m
"코로나19 신규확진 114명, 사흘째 세자릿수",https://imnews.imbc.com/news/2020/society/article/5921205_32633.html
"건보공단 ""사랑제일교회 확진자 치료비 64억...교회가 배상해야""",https://hankookilbo.com/News/Read/A2020092521490005917?did=NA
"코로나 신규 확진 114명, 사흘째 세 자릿수",https://www.nocutnews.co.kr/news/5418948
코로나 신규 확진자 125명…이틀 연속 세자릿수,http://www.hani.co.kr/arti/society/health/963444.html
창원에서 코로나19 확진자 1명 발생…실제 거주지는 부산,http://www.busan.com/view/busan/view.php?code=2020092518482041071
